sku,Articles,Quantités,Prix d'Achat,Prix Vente
,BAIN DE BOUCHE SIGNAL,1,,
,BALEA DEODORANT,27,,
,BAUME A LEVRE LABELLO,3,,
,BAUME A LEVRES BYPHASSE,72,2000,
,BAUME LA ROCHE-POSAY,6,,
,BEBE CHATEAU ROUGE,3,,
,BEBE KLORANE,7,,
,BRUT DEODORANT,58,,
,CHEVEUX SCURL,4,,
,COTON BYPHASSE (120),41,1000,
,CREME A MAIN BYPHASSE,,2500,
,CREME ANTI TACHE CERAVE,4,,
,CREME COCONUT OIL,3,,
,CREME DE CORPS SO WHITE,1,,
,CREME DE VISAGE BYPHASSE,436,3500,
,CREME DE VISAGE GOLD,8,,
,CREME DE VISAGE SO CARROT,7,,
,CREME DE VISAGE SO WHITE,6,,
,CREME DEPILATOIRE BYPHASSE,18,2500,
,CREME DISCIPLINE LISS BYPHASSE,2,2000,
,CREME HYDRATANTE BYPHASSE,85,3000,
,CREME HYDRATANTE ROGER CAVAILLES,,,
,CREME MIXA,5,,
,CREME NOURRISSANTE BYPHASSE,29,2500,
,CREME PALMERS COCOA BUTTER,35,,
,CREME VASELINE,42,,
,CREME VISAGE DIADERMINE,9,,
,DEMAQUILLANT YEUX BYPHASSE,44,2500,
,DEMELANT EXPRESS BYPHASSE,20,2500,
,DEODORANT DOVE,22,,
,DEODORANT ROULANT BYPHASSE,76,2000,
,DEODORANT VASELINE,38,,
,EAU MICELLAIRE CERAVE,3,,
,EAU THERMALE BYPHASSE,15,2500,
,EXFOLIANT VISAGE BYPHASSE,12,2500,
,FIX BYPHASSE,40,2000,
,GEL DEMAQUILLANT BYPHASSE,65,2500,
,GEL DOUCHE BIODERMA,4,,
,GEL DOUCHE BYPHASSE 1L,204,3000,
,GEL DOUCHE BYPHASSE 750 ML,81,2500,
,GEL DOUCHE DOVE,8,,
,GEL DOUCHE GOLD,29,,
,GEL DOUCHE ORIGINAL GLUTATHION,15,,
,GEL DOUCHE PETIT MARSEILLAIS GRAND,4,,
,GEL DOUCHE PETIT MARSEILLAIS PETIT,22,,
,GEL DOUCHE ROGER CAVAILLES,2,,
,GEL DOUCHE SO CARROT,16,,
,GEL DOUCHE SO WHITE,31,,
,GEL ECO CHEVEUX,1,,
,GEL INTIME BYPHASSE,5,2500,
,GEL NETTOYANT BEBE CADUM,10,,
,GEL NETTOYANT CERAVE GRAND,4,,
,GEL NETTOYANT GARNIER,3,,
,HAIR MAYONNAISE,2,,
